zip,city,state,latitude,longitude,timezone,dst
501,Holtsville,NY,40.922326,-72.637078,-5,1
544,Holtsville,NY,40.922326,-72.637078,-5,1
1001,Agawam,MA,42.140549,-72.788661,-5,1
1002,Amherst,MA,42.367092,-72.464571,-5,1
1003,Amherst,MA,42.369562,-72.63599,-5,1
1004,Amherst,MA,42.384494,-72.513183,-5,1
1005,Barre,MA,42.32916,-72.139465,-5,1
1007,Belchertown,MA,42.280267,-72.402056,-5,1
1008,Blandford,MA,42.177833,-72.958359,-5,1
1009,Bondsville,MA,42.206092,-72.340486,-5,1
1010,Brimfield,MA,42.108585,-72.20448,-5,1
1011,Chester,MA,42.294259,-72.952776,-5,1
1012,Chesterfield,MA,42.392274,-72.825607,-5,1
1013,Chicopee,MA,42.161492,-72.667341,-5,1
1014,Chicopee,MA,42.170731,-72.604842,-5,1
1020,Chicopee,MA,42.177492,-72.562563,-5,1
1021,Chicopee,MA,42.170731,-72.604842,-5,1
1022,Chicopee,MA,42.193392,-72.55436,-5,1
1026,Cummington,MA,42.428617,-72.909841,-5,1
1027,Easthampton,MA,42.368303,-72.768839,-5,1
1028,East Longmeadow,MA,42.062009,-72.49874,-5,1
1029,East Otis,MA,42.190904,-73.051661,-5,1
1030,Feeding Hills,MA,42.189335,-72.79774,-5,1
1031,Gilbertville,MA,42.352554,-72.205724,-5,1
1032,Goshen,MA,42.443837,-72.819446,-5,1
1033,Granby,MA,42.262285,-72.504086,-5,1
1034,Granville,MA,42.112748,-72.952003,-5,1
1035,Hadley,MA,42.356804,-72.576613,-5,1
1036,Hampden,MA,42.067614,-72.417507,-5,1
1037,Hardwick,MA,42.347856,-72.225251,-5,1
1038,Hatfield,MA,42.387269,-72.643081,-5,1
1039,Haydenville,MA,42.35641,-72.682127,-5,1
1040,Holyoke,MA,42.198291,-72.64207,-5,1
1041,Holyoke,MA,42.170731,-72.604842,-5,1
1050,Huntington,MA,42.313427,-72.903677,-5,1
1053,Leeds,MA,42.353838,-72.704385,-5,1
1054,Leverett,MA,42.474681,-72.467543,-5,1
1056,Ludlow,MA,42.173276,-72.627038,-5,1
1057,Monson,MA,42.095323,-72.282063,-5,1
1059,North Amherst,MA,42.369562,-72.63599,-5,1
1060,Northampton,MA,42.415154,-72.76927,-5,1
1061,Northampton,MA,42.369562,-72.63599,-5,1
1062,Florence,MA,42.328838,-72.845227,-5,1
1063,Northampton,MA,42.317939,-72.640234,-5,1
1066,North Hatfield,MA,42.406697,-72.633901,-5,1
1068,Oakham,MA,42.346144,-72.058847,-5,1
1069,Palmer,MA,42.176131,-72.31457,-5,1
1070,Plainfield,MA,42.448984,-72.958397,-5,1
1071,Russell,MA,42.177432,-72.864558,-5,1
